Year,Production,Unit of Measure,Growth Rate
1960,34639,(1000 MT),NA
1961,35663,(1000 MT),2.96%
1962,33217,(1000 MT),-6.86%
1963,36998,(1000 MT),11.38%
1964,39308,(1000 MT),6.24%
1965,30589,(1000 MT),-22.18%
1966,30438,(1000 MT),-0.49%
1967,37612,(1000 MT),23.57%
1968,39761,(1000 MT),5.71%
1969,40430,(1000 MT),1.68%
1970,42225,(1000 MT),4.44%
1971,43068,(1000 MT),2.00%
1972,39245,(1000 MT),-8.88%
1973,44051,(1000 MT),12.25%
1974,39579,(1000 MT),-10.15%
1975,48740,(1000 MT),23.15%
1976,41917,(1000 MT),-14.00%
1977,52617,(1000 MT),25.53%
1978,53773,(1000 MT),2.20%
1979,42330,(1000 MT),-21.28%
1980,53631,(1000 MT),26.70%
1981,53248,(1000 MT),-0.71%
1982,47116,(1000 MT),-11.52%
1983,60097,(1000 MT),27.55%
1984,58337,(1000 MT),-2.93%
1985,63825,(1000 MT),9.41%
1986,60416,(1000 MT),-5.34%
1987,56862,(1000 MT),-5.88%
1988,70489,(1000 MT),23.97%
1989,73573,(1000 MT),4.38%
1990,74291,(1000 MT),0.98%
1991,74680,(1000 MT),0.52%
1992,72868,(1000 MT),-2.43%
1993,80300,(1000 MT),10.20%
1994,81810,(1000 MT),1.88%
1995,76980,(1000 MT),-5.90%
1996,80736,(1000 MT),4.88%
1997,82545,(1000 MT),2.24%
1998,86077,(1000 MT),4.28%
1999,89683,(1000 MT),4.19%
2000,84977,(1000 MT),-5.25%
2001,93334,(1000 MT),9.83%
2002,71814,(1000 MT),-23.06%
2003,88522,(1000 MT),23.27%
2004,83127,(1000 MT),-6.09%
2005,91785,(1000 MT),10.42%
2006,93345,(1000 MT),1.70%
2007,96682,(1000 MT),3.57%
2008,99172,(1000 MT),2.58%
2009,89083,(1000 MT),-10.17%
2010,95970,(1000 MT),7.73%
2011,105301,(1000 MT),9.72%
2012,105241,(1000 MT),-0.06%
2013,106646,(1000 MT),1.34%
2014,105482,(1000 MT),-1.09%
2015,104408,(1000 MT),-1.02%
2016,109698,(1000 MT),5.07%
2017,112760,(1000 MT),2.79%
2018,116480,(1000 MT),3.30%
2019,118426,(1000 MT),1.67%
2020,120000,(1000 MT),1.33%
